conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags,
hit:0_conv:0,1,guilty,I felt guilty when I was driving home one night and a person tried to fly into my lane_comma_ and didn't see me. I honked and they swerved back into their lane_comma_ slammed on their brakes_comma_ and hit the water cones.,0,Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.,2|2|5_5|5|5,,
hit:0_conv:0,2,guilty,I felt guilty when I was driving home one night and a person tried to fly into my lane_comma_ and didn't see me. I honked and they swerved back into their lane_comma_ slammed on their brakes_comma_ and hit the water cones.,1,Did you suffer any injuries?,2|2|5_5|5|5,,I hope it goes well! If it makes you feel any better_comma_ most of them are probably just as nervous and are looking for any excuse to relax and let their guard down_comma_ too. Good luck|Aww_comma_ I'm so sorry but know you made a difference in her life.|Aliens? I didn't think it was about aliens_comma_ i thought it's about ghosts and stuff|She may be skinny_comma_ but it doesn't mean she's healthy.|How do you make it?|Wow_comma_ school is right around the corner|Be positive. Don't deviate your mind while driving. Concentrate completely on driving. You can.|Oh my_comma_ did you have a good time?|I do feel that way_comma_ I try to always have a Christian attitude.|Ahaha_comma_ I hate running too|Oh my! That is repulsive indeed! I would've taken it home for dinner. Waste not want not!|Yes it did. I believe she just waited it out and tried to neutralize the conversation when we were together. |I know how hard that can be. Is it working out?|How old's your child?|I'm glad it didn't mess anything up and that your relationship with your sister is still in tact.|Did you suffer any injuries?|I see. I hope for all the best for you and him.|Great_comma_ what is his field ?|I'm glad you made amends then and no drama.|And it has paid off. Good for you.|Do you have any hobbies that may help you to meet people?|oh that is so wrong. How are you handling it?|I am actually home bound_comma_ but I love to live through other peoples experiences.  My wife and kids go out and bring back stories of their adventures.  I love it!|Yeah I bet. but atleast you have the memorys|That is a great sister. I'm sorry you were feeling down|That was so sweet of him! You're lucky to have such a sweet boyfriend|bummer.  Well I hope you get a chance to do that soon!|Maybe try to slowly quit? Like just drink one less a day|Well thats good. Probaby saved a bunch of coins|Yeah dealing with an accident is one of the most aggravating things.|I bet you are_comma_ that's some pretty good foresight right there! Did you have to use it this past winter?|Yes_comma_ some people call it fate.|Ooh_comma_ did you go ahead and go through with it?|I'm glad it wasn't something dangerous. That would be a terrifying experience.|Lucky! I would not trust anyone in my house!|It can be hard in those situation I know you don't want to loose a friend in the end.|That kind of stinks. Sorry to hear that! Well_comma_ at least there are worst things to forget outside.. Maybe this is an easy learning lesson!|The wiring was probably old and not up to code anymore.|What types of situations are you referring to?|That's definitely a factor_comma_ sometimes I forget about some of my nephews even exist.|How creepy!|That is very nice gift. Did you bought anything for him for Father's day?|Did you not have a car? That's hard. I don't have one now and use Uber and Lyft all the time.|I hope it flies by! |Did you spill something?|Oh no! I'm sorry. Is she going to be ok?|Nostalgia can stir emotions. You'll find something to love about life again.|Nothing went wrong_comma_ we just have different lives in different places. I go visit every now and then.|Oh no. I bet they are going to charge you for a new one.|That's what I was thinking.|It would be hard to replicate that day for sure_comma_ but I bet you have a lot to be confident about. You got this!|So did it result in a brawl?|I wish you good luck!|I agree_comma_ its always nice to have people around you who are smarter in some areas|lol i know the feeling! and being a parent i now understnd|Oh my! You must have been terrified! Did everything turn out ok?|Well I think it really cool that you were able to get back into something that you used to do when you were younger!|You must be happy to have it back_comma_ those are the best memories.|Oh no! Can you replace it?|Wow that worked out perfectly|Me too. Its nerve wrecking|How come? what happened?|Well_comma_ I guess it really loves you.|Did they give you any reason for not giving you the job?|Do you reach out to your friends from your childhood?|What kind of job is it?|Well I'm glad to hear it's resolved.|That is awesome!|You're a terrific partner. You guys can do something outdoors next time_comma_ right?|What kind of pizza did you eat?|Do you not have friends?|That's amazing and a very quick profit!  I'm a little bit jealous myself.  |Not as often as I would like. Air travel is expensive after all. I know exactly what you mean though!|Hopefully medical technology will catch up to where it needs to be for him. |I feel you! Do you have everything facing the right way?|Wow_comma_ check out Mr. Moneybags over here! That must have been a real thrill though.|You're welcome. I wish you the best in the new position.|No problem. What kind of work does he do?|I've felt the same way. As I have aged and become more comfortable and secure in my marriage and in myself_comma_ those other insecurities and fears dropped off. Good for you for conquering that challenge!|That sucks_comma_ hopefully its just something minor. You're a good person for taking care of her|That is interesting. Do you miss meat or dairy at all?|I've heard about this movie but i've never had a chance to watch it|That isn't very nice.|Did you have a good time visiting with them?|It sounds like a stressful day. You have to just live in the present so_comma_ you will not be too stress out.|I wish I could relate. I'm a male_comma_ so I'll never know the pain and/or the reward that comes with growing a human being inside your body. It's such an impressive thing to go through_comma_ and no matter what_comma_ mothers will never get enough credit. You deserve serious props. What ages are they now?|don't panic_comma_ and don't be harsh on the kid. perhaps spend time going over the subject together? or maybe he's having other trouble that's affecting his studies|Oh wow. I just would've blamed it on whoever I was with.|I'm so sorry.! But I'm really glad you've got those pleasant memories and the memento to hold on to so you can remember her fondly. |are you going to pass it down too?|That is so nice that she made note that you had been wanting it for so long! |Oh wow_comma_ I love hippos and I don't know what sloth look like will let google help me out :)|What platform do you play it on? PC or PS4?|I do hope they stopped the car at least ! That sounds disgusting_comma_ but its better than throwing up in the car right ?|Do you have any idea where you will go? Is it accompanied?|so you were really prepared. |That happened to me too.. with the other Exorcist movies and the Ring movies. Even though they scared me_comma_ I was too curious to not see the others.|oh its hurts a little|aww. im sure you must feel proud of him|I know how you feel.  I moved away from my family and friends this summer.  Do you have family nearby at all? I often feel lonely when I'm watching a movie by myself but then I remind myself that I'm loved by a lot of people.
hit:0_conv:0,3,guilty,I felt guilty when I was driving home one night and a person tried to fly into my lane_comma_ and didn't see me. I honked and they swerved back into their lane_comma_ slammed on their brakes_comma_ and hit the water cones.,0,No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.,2|2|5_5|5|5,,
hit:0_conv:0,4,guilty,I felt guilty when I was driving home one night and a person tried to fly into my lane_comma_ and didn't see me. I honked and they swerved back into their lane_comma_ slammed on their brakes_comma_ and hit the water cones.,1,Why did you feel guilty? People really shouldn't drive drunk.,2|2|5_5|5|5,,Yep! or if you're house will be hit.  Many possibilities with tornadoes!|Wow! I better! I Stopped at Associates of General Studies_comma_ because I wanted to be a mom more. So that is a HUGE step for you! |You have to :) Everyone has bad moments and if you can't laugh at them_comma_ then they just eat you up!|that is awesome_comma_ i hope that happens to me on my next trip_comma_ where where you going|Oh_comma_ I would love time away like that! How did you enjoy it?|I remember these game well_comma_ like Contra and Battle Toads. |I love going to the Spurs games.|That sounds good. I bet it was fun to hangout and eat with your friend.|Yes I've got one.  She's a stray that showed up to work one day.|That's awesome! I am mad jealous that you have my dream car!|That's pretty amazing. She must be skillful regardless.|Poor thing! What did you do?   Did you take it home with you?|That is the best way to handle those situations.|Oh really? I thought summer ended after July. You learn something new everyday lol|yuk for sure|Good luck! What is it on?|I agree. Life is short and having these relationships is very important|What did she do?|I do hope they stopped the car at least ! That sounds disgusting_comma_ but its better than throwing up in the car right ?|it much be a huge weight off of your shoulder|That is great_comma_ Why does he travel so much?|What are you going to do about it|I feel the same way.  We are a glass half full kind of people!|Baby belugas are cute_comma_ but not as cute as your baby!|I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!|How long did you live in your old one?|That is for sure_comma_ you can always count on parents for that|I have_comma_ I love going when I can|I hate when that happens! Especially when you have been waiting for the beach!|Oh awesome!  Congrats!!!!  How has it changed life for you?|That sounds amazing|I'm sure she'll have a lot to tell you about her trip!|nervous?|Don't spend it all in one place :)|I understand that! I have a bunch of pet snakes that wake me up thru the night!|Im glad it all went well! It seems that sometimes when you are extremely nervous it can make time pass quickly too. |Yeah that is a long time for a fish_comma_ do you have plans to get another one|you need to take them away!|I've had pets to do that too.|So_comma_ how did you now do it|That's so heartwarming! I hope your relationship works out very well!|That's sad. I hope you are OK.|Yikes.  Did you get injured?|Cool! What kind of fish do you expect to catch there?|It is a work award or something?|That's great_comma_ what kind of work are you in?|Why did you feel guilty? People really shouldn't drive drunk.|I hope so too! I'll be sure to keep my fingers crossed for you! Good luck!|You must be relieved! You excited for free time?|I cant imagine how scared you must have been.|What does what mean exactly?|Meditation on goals and positive ideas during some of that alone time can be so uplifting and refocuses you.|You are so right! |Jeez! Its so unfortunate... very sad really. |Oh man_comma_ bills. That's awesome!|I love buying new clothes! Where do you think you'll wear it to?|That's so sad.  I've lost dogs before.  I know how you feel :(|Ive never been to one of those.  Is she really young or is she like a professional dancer?|Was it something important that you took ?|That's got to be an amazing feeling to have going for you. How do you feel?|Oh no! I hate speaking in front of crowds. What happened?|I have not tried yet_comma_ but i feel like it would be enjoying and full of delight|Oh wow that is a huge commitment! How did it go?|That is terrible.|UGH my dog has destroyed all of my favorite shoes.|Thats horrible! You should tell them as that is their property. What if someone did that to your stuff?|I can understand that as I live in Florida and we prepare for hurricanes each year with a plan and emergency rations and supplies.|that is always good_comma_ have one for me!|Aww_comma_ I'm so sorry but know you made a difference in her life.|That will be an amazing trip!!|That must have been exciting to see her after so long. Does she live very far away?|Poor baby. I remember my kids teething too. It was horrible|Just sit them down and talk about the way they are treating you|thats always super|Oh wow_comma_ I hope you have fun|Yeah_comma_ minus one for dogs|Oh man. Don't feel guilty accidents happen. Hopefully she recovers quickly.|Cool I think I saw a commercial for that actually.|well after a certain age parent's start to treat children differently lol|I am sorry to hear that_comma_ I hope you had some time together before hand|oh that is awesome. what does she do?|I could chat with you all day! We have a lot in common- I feel the same way. Keep chatting? Poor rescue animals. |Goodness_comma_ you're right about that. Plus a pet is the only thing to show unconditional and neverending love for you.|Of course_comma_ but at least you can still afford it.|Nice_comma_ me too_comma_ are you playing Nintendo games?|I can imagine the loneliness someone can experience.|Oh no. That sounds really stressful!|oh yeah? where you planning to move to?|It must be very good_comma_ if you're willing to go that far!|I hope she didn't eat too much of it_comma_ it might make her sick.|Cool. Maybe next year you will be a partner!|How nice of her. You must have been so happy to see her.|It must have been! Have you guys been apart before?|That is a terrible tragedy_comma_ my friend. Did the dog get sick?|I bet you were really proud!|That blows dude _comma_ i bet it was not your fault |oh no! that's terrible! I've had that happen before and it sucks|Oh? That's not good. Do you think he has lots of secrets?|Oh wow. How far away did you move??|That is not something to take for granted_comma_ enjoy yourself!
hit:0_conv:0,5,guilty,I felt guilty when I was driving home one night and a person tried to fly into my lane_comma_ and didn't see me. I honked and they swerved back into their lane_comma_ slammed on their brakes_comma_ and hit the water cones.,0,I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.,2|2|5_5|5|5,,
hit:34_conv:69,1,caring,My mother stopped by my house one day and said she saw 3 dogs on the road_comma_ down from our house. They were starving_comma_ with ribs showing_comma_ and it was a mother dog and her two small puppies. Of course_comma_ my daughter wanted to bring them to our house_comma_ so we could feed and help them. We did_comma_ and my heart went out to them_comma_ as they were so sweet_comma_ but really were in a bad shape.,45,Well_comma_ can you tell me about your experience? I think we swapped places,5|5|5_3|2|2,,
hit:34_conv:69,2,caring,My mother stopped by my house one day and said she saw 3 dogs on the road_comma_ down from our house. They were starving_comma_ with ribs showing_comma_ and it was a mother dog and her two small puppies. Of course_comma_ my daughter wanted to bring them to our house_comma_ so we could feed and help them. We did_comma_ and my heart went out to them_comma_ as they were so sweet_comma_ but really were in a bad shape.,12,Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,5|5|5_3|2|2,,Sugar will do that to kids every time.  Just don't let them on a  roller coaster to make it even worse.|I would be too! Did you to it?|That car is quite expensive_comma_ I wish I could afford one too.|How wonderful. That's what's important and makes life meaningful in my opinion.|What are you referring to?|That is really scary!  What was it?|I use to live in an older house that had a tin roof_comma_ and I'd always love hearing the rain beat on it! Helped me sleep like a baby_comma_.|I hope so_comma_ I am still not sure if I want kids|That is awesome! It is for running?|Thats horrible. Did you tell on him?|Go ahead and post your resume on as many job related forums that you can. I think it's great that you're trying to find other ways of making money too. You are a go-getter_comma_ and don't ever give up!!|That's so sad_comma_ I'm so sorry you had to go through that. How did it happen?|The internet is a great thing. I don't know what we'd do without it.|Congratulations. I am in my twenties and still can't drive so hopefully I will get my license next year.|Was it recently? Happy Birthday|Oh! I am so happy for you. Congratulations. What was the job?|Maybe put the poop back on your neighbors yard?|That is so funny! I don't think she'll want to be compared to an ant when she gets older. You'll have to remind her.|I do love a smooth ride. What kind of car is it?|Good thing_comma_ you have to be prepared for those situations|That's great! So sad for those poor animals. |I cried every year knowing santa wasnt coming to my house.|I found lots of things to pass down when my grandmother passed. I think they passed down their hoarding to us lol|Excellent! Stay hydrated!|Was it someone you know? Sorry for your loss if it was.|How long do you plan on staying in that house?|Aww_comma_ yeah I know what you mean. Dogs are so lovable. I also have a new pup myself. I got him a couple years ago|I'm glad you were safe. Tornados are not a fun thing to experience.|Oh_comma_ but I bet you appreciated it! Summer can get long. |i had a similar experience_comma_ i miss it too|Great! I know it can be a tough job_comma_ I am sure you will do fine_comma_ keep studying!|Oh I bet that was fun. What kind of dog do you have?|Just remember to keep your head up and don't give up!|ask him to stop being a jerk?|That is very sweet. I think they will have a happy and lasting marriage.|Well_comma_ it's okay to be a bit nervous. Interviewers will understand that. You only have to halfway reign in it in and you'll hit that happy medium that's good for a workplace interview. Where are you applying to?|Oh wow_comma_ that sounds like a tough job_comma_ but I bet you will be good at it.|Oh no.. Did he pass away?|That's strange_comma_ I hope she makes it out ok this time though.|Goodness_comma_ you're right about that. Plus a pet is the only thing to show unconditional and neverending love for you.|Thats really annoying. It would be great if people would just let other people be.|I have to trust my doc completely that he has steady hands and will inject the nerve correctly.|Yeah that is a long time for a fish_comma_ do you have plans to get another one|All around_comma_ it would be a good decision for society. Just last night_comma_ I was watching Live PD and there was a young man stealing a candy bar. He was a drug addict. I believe if he had the help he needed_comma_ he would not have to steal tiny amounts of food.|Thats sad. I love cats|Thats good dear_comma_congratulations|So you covered him. It was very noble from your side to act in this way|hi are you there?|How awful!  Do you know who did it?|I hope you get better soon!|Did you get arrested?|Awww_comma_ I totally know that feeling. I hate even going on vacation and not being able to bring my dog along. She is family!|That's rough man. Got any back up interviews lined up?|are you able to get some tutoring or find a study buddy?|I can't even imagine. I've never lost anyone super close to me yet...|I'm so very sorry for your loss_comma_ I can only imagine that pain. I had to put my girl down 3 years ago and I promise that it does get easier.|That does sound like a great night! I think I'm overdue for one of those myself!|At least you got to see your family for a little bit.|Wow that is super exciting. Not many people get that opportunity. You must have worked hard |That's awesome_comma_ have you ever tried surfing?|I hear you can travel to different dimensions while meditating..|That's so sad! What on earth is a dog doing around a highway?! That just breaks my heart.. |Oh! Gotcha! I've never played the switch but I heard it's an exciting console!|Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience|i was beet red when I realized what had happened.|Interesting! What kind of things do you do?|Ouch! That must have hurt.|Oh that's really nice to have something you can remember him by. It must be very special to you. |Oh cool. Do you want to work as a scientist?|I hope you recover well and I'm sure you will with good support by your side.|I agree with you_comma_you'll feel good about yourself being productive !|How did it go?|Which film was it?|Sounds pretty interesting.  How was it? Did you like it?|5|That's magnificent! I've never played tennis myself_comma_ but it's a sport I've always enjoyed watching.|That's a silver lining in all of it at least! |It's good to stop and appreciate teh moment sometimes. |Children are a beautiful thing for us parents. What a great memory you have of that. |Wow you are lucky to have someone so thoughtful. I bet you were feeling great.|Uh oh_comma_ be careful about that_comma_ you don't want him becoming dependent on you for handouts. |Awesome! That had to be a great confidence boost for him! |I understand. Horror movies freak me out_comma_ too. Did you watch the whole thing?|Well that is very nice of them to do!|That makes for long days at work. I hope they can fix it for you soon.|He didn't even call to let you know whats going on?|Thats cool_comma_ I did online school in high school|I am sorry_comma_ how have you been passing the time|That's cool! Did you end up keeping up with them after you left?|Oh no_comma_ poor baby|theres always tomorrow!|Wow! What a great team to be on!|My dream job is being born rich. Its too late for that|Oh man_comma_ the beach always sounds nice|It seems like it's a lot of ruckus_comma_ I've visited friends who have your situation and I can only imagine. |I know how you feel. I'm working right now :(|That sounds so good i love steaks|Sounds good_comma_ when she got back I hope you schooled her on Halo ?|thats really good of you. she is a lucky gal|What kind of thing?  You could always change that in the future.
hit:34_conv:69,3,caring,My mother stopped by my house one day and said she saw 3 dogs on the road_comma_ down from our house. They were starving_comma_ with ribs showing_comma_ and it was a mother dog and her two small puppies. Of course_comma_ my daughter wanted to bring them to our house_comma_ so we could feed and help them. We did_comma_ and my heart went out to them_comma_ as they were so sweet_comma_ but really were in a bad shape.,45,Oh my goodness_comma_ that's very scary! I hope you are okay now and the drunk driver was punished for his actions?,5|5|5_3|2|2,,
hit:34_conv:69,4,caring,My mother stopped by my house one day and said she saw 3 dogs on the road_comma_ down from our house. They were starving_comma_ with ribs showing_comma_ and it was a mother dog and her two small puppies. Of course_comma_ my daughter wanted to bring them to our house_comma_ so we could feed and help them. We did_comma_ and my heart went out to them_comma_ as they were so sweet_comma_ but really were in a bad shape.,12,Yeah he was punished hes in jail still,5|5|5_3|2|2,,Are you really able to work from home? Finding a gig is so difficult_comma_ I'm glad that it is working for you.|Oh no. That's quite unfortunate for the deer. Did you just drive past it?|Wow_comma_ you must have felt jealous|I can only imagine! How is he now?|Oh goodness_comma_ what happened for the past 3 weeks?|LOL i hate that|I love a warm fire outside while camping! Sounds like a great time.|Yeah he was punished hes in jail still|Was he upset?|Wow that's awesome! Are you on a team?|Oh man that is just crazy! Feel bad for the person who has to clean it.|im sorry_comma_ thats awful. its a shame his parents arent being more supportive|I bet that was scary. Did he surprise you with something?|That sounds pretty stressful. Are you moving soon?|Well_comma_ if I were you_comma_ I'd keep it up_comma_ whether or not my spouse laughed at me_comma_ or a new girlfriend/boyfriend_comma_ whatever. It's not childish to me. Life is stressful enough. Let us snuggle what we want.|That's hilarious! Is he usually down for a good prank?|Oh I love seeing kids achieve things! Adorable. Good for her! :) |that makes two of us! i am terrified of all snakes|that is dangerous_comma_ glad that both of your are okay|That's good to hear. I hope I meet someone that will do that for me.|Well that's good.|We need more people like you in the world.  Theres always someone out there who needs a helping hand and could use a friend.|How ever so exciting! is this your first cruise?|Do you feel any less nervous?  Job interviews are always nerve-wracking |Maybe you could try to better that?|That's what matters most_comma_ that you had a good time and made memories!|Oh man! I hear you. I rescue animals and it is VERY hard to potty train them!|Hopefully they will give him a better shift.|That's a big step. I hope it works out for you.|Hiking is probably a tough environment to meet people! LA is real nice_comma_ but I hear the people there aren't/|I hope things turn out better for you. Keep fighting.|please don't lol i'm a man_comma_ I appreciate what you women go through when you're pregnant or on your period but i'm okay with not knowing details|I wish refrigerators would have a warranty that replaced food when they went bad. |Seeing old friends that you have not contacted in so long is a nice feeling. |Cool. Will you leave it there forever?|Oh wow. How far away did you move??|So inconsiderate! It reminds me of my neighbours doing building work one morning at 6AM!|Oh no_comma_ did they do something embarrasing?|That is awesome!  Is there a particular reason you are so happy?|Did you buy all the essential items the dog will need? |Fantastic_comma_ now do you have a job lined up?|Better luck next time!  I love to scratch!|Thats neat. Do you guys make a lot of money?|I would be furious.  What did you do?|Well hopefully you're able to familiarize yourself quickly. Good luck!|Oh thats good for your friend_comma_ but it sounds like you really would like to live there! I can imagine feeling jealous|That's unfortunate.  What are you doing now?|Oh no. I rent also so I know your pain. My last landlord was awful.  How did your landlord react?|Im sorry to hear that_comma_ how long did you have him?|Lovely.  What did you do together?|Have you thought about getting another dog? |Oh yeah?  Do you still look awesome like you did back then?|Do you dress up when the new movies come out also?|That's a shame. I hate it when a place doesn't live up to the hype.|Sometimes life isn't very fair. I like to think of it as motivation to get a better job.|Well at least you have a plan. Are you planning to start the renovation soon?|Kids pick those things up quickly.  And it'll help with her hand-eye coordination_comma_ reading - all sorts of things!  |did you enjoy yourself |Haha_comma_ how did she feel when she found out?|that would really help if it was a permanent solution|Wow that must have been frustrating.  I hope it didn't cost too much.|How nice of her. You must have been so happy to see her.|I know it's hard_comma_ but practice makes perfect! Keep trying and I am sure you will get it!|Do they live in a different state than you?|It reallyi s the best way to do things. That way even if you forget something you've got time to remember and remedy the situation|Wow_comma_ must have been rather frightening. Glad you are ok!|That was really nice!  What a wonderful surprise!  This act of kindness helps to restore my faith in humanity.|It's located in a small farming town in Vermont. I went on a tour of their factory once and it was interesting to see the cheese being made.|Poor guy was just nervous_comma_ I'm sure the more you take him the more he will venture away from you and have some fun!|How did he scare you?|Isn't that what sisters are for?  What were you guys upset about?|That is a long time to be in the car for sure.|I'm glad to hear... Weddings can be stressful|That sounds amazing! How'd you guys meet?|Getting out of town and way from all of everday life's struggles always sounds like a great time.  Did you leave you cell phone at home while you weer away to 'really' get away from everything for a minute?|Man that is scary! Granted i like to hear things about that. |Yikes! Was anything damaged? |Ouch_comma_ I would try and wear something on your neck next time you go in there.|awesome! was it hold em?|Not me! haha I love them all!|Oh that's nice_comma_ I love doing that. Did the cat seem happy?|Yeah_comma_ I can imagine. At least it's only one week!|Ew_comma_ I hate spiders. We are in the process of getting them out of our garage.|That's great news. I don't know what I would do if my mom passed.|Is that like the child equivalent of under the bed?|That's really fantastic!  I'm glad to hear you turned your life around.  |What kind of work do you do?|Ah ok I undestand.|Very sad to hear. You have a good heart and are very caring_comma_ that is something to atleast be proud of!|Man that sounds really stressful...|You are so strong!  Please thank your husband for his service and thank you for being his support_comma_ no matter the miles between you.  Take care of yourself and get out with friends when you can!|I see. Is it your favorite food now? :p|YAY! good job! He/she is going to be beautiful|Nothing went wrong_comma_ we just have different lives in different places. I go visit every now and then.|A spelling bee - what fun! I'm sure you will win - I bet you've worked hard toward your goal.|You should install security cameras outside your house.|Border collie. She was great!|Oh dear me.. So sorry to hear that! what did you do?|Praise God man! He really is amazing and we should always be grateful for we have |Oh no.. Did he pass away?
hit:37_conv:74,1,lonely,I just broke up with my girlfriend_comma_ we were together for 8 years_comma_ i feel so empty.,47,I there_comma_ dont know what to do_comma_ jst broke up with my girlfirned_comma_ we were 8 years together,5|4|4_5|5|5,,
