conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:0_conv:1,1,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.,5|5|5_2|2|5,
hit:0_conv:1,2,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Was this a friend you were in love with_comma_ or just a best friend?,5|5|5_2|2|5,
hit:0_conv:1,3,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,This was a best friend. I miss her.,5|5|5_2|2|5,
hit:0_conv:1,4,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Where has she gone?,5|5|5_2|2|5,
hit:0_conv:1,5,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,We no longer talk.,5|5|5_2|2|5,
hit:0_conv:1,6,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Oh was this something that happened because of an argument?,5|5|5_2|2|5,
hit:1_conv:2,1,afraid, i used to scare for darkness,2, it feels like hitting to blank wall when i see the darkness,4|3|4_3|5|5,
hit:1_conv:2,2,afraid, i used to scare for darkness,3,Oh ya? I don't really see how,4|3|4_3|5|5,
hit:1_conv:2,3,afraid, i used to scare for darkness,2,dont you feel so.. its a wonder ,4|3|4_3|5|5,
hit:1_conv:2,4,afraid, i used to scare for darkness,3,I do actually hit blank walls a lot of times but i get by,4|3|4_3|5|5,
hit:1_conv:2,5,afraid, i used to scare for darkness,2, i virtually thought so.. and i used to get sweatings,4|3|4_3|5|5,
hit:1_conv:2,6,afraid, i used to scare for darkness,3,Wait what are sweatings,4|3|4_3|5|5,
hit:1_conv:3,1,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,3,Hi how are you doing today,3|5|5_4|3|4,<HI>
hit:1_conv:3,2,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,2,doing good.. how about you,3|5|5_4|3|4,
hit:1_conv:3,3,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,3,Im good_comma_ trying to understand how someone can feel like hitting a blank wall when they see the darkness,3|5|5_4|3|4,
hit:1_conv:3,4,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,2,it's quite strange that you didnt imagine it,3|5|5_4|3|4,
hit:1_conv:3,5,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,3,i dont imagine feeling a lot_comma_ maybe your on to something,3|5|5_4|3|4,
hit:2_conv:4,1,faithful,I have always been loyal to my wife.,4,I have never cheated on my wife.,3|3|5_2|4|4,
hit:2_conv:4,2,faithful,I have always been loyal to my wife.,5,And thats something you should never do_comma_ good on you. ,3|3|5_2|4|4,
hit:2_conv:4,3,faithful,I have always been loyal to my wife.,4,Yea it hasn't been easy but I am proud I haven't,3|3|5_2|4|4,
hit:2_conv:4,4,faithful,I have always been loyal to my wife.,5,What do you mean it hasn't been easy? How close have you come to cheating? ,3|3|5_2|4|4,
hit:2_conv:5,1,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,5,Job interviews always make me sweat bullets_comma_ makes me uncomfortable in general to be looked at under a microscope like that. ,2|4|4_3|3|5,
hit:2_conv:5,2,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,4,Don't be nervous. Just be prepared.,2|4|4_3|3|5,
hit:2_conv:5,3,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,5,I feel like getting prepared and then having a curve ball thrown at you throws you off. ,2|4|4_3|3|5,
hit:2_conv:5,4,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,4,Yes but if you stay calm it will be ok.,2|4|4_3|3|5,
hit:2_conv:5,5,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,5,It's hard to stay clam. How do you do it? ,2|4|4_3|3|5,
hit:3_conv:7,1,joyful,I am very happy to have been first over 300 students during this years at my enginering school,7,Hi_comma_ this year_comma_ I was the first over 300 students at my enginering school,5|5|5_4|5|5,<HI>
hit:3_conv:7,2,joyful,I am very happy to have been first over 300 students during this years at my enginering school,6,Sounds great! So what's your major?,5|5|5_4|5|5,
hit:3_conv:7,3,joyful,I am very happy to have been first over 300 students during this years at my enginering school,7,It is computer science. I am very happy of this achievement and my family is very proud.,5|5|5_4|5|5,
hit:3_conv:7,4,joyful,I am very happy to have been first over 300 students during this years at my enginering school,6,Well pleased. You should be having brains_comma_man!That's a tough course_comma_i hear.,5|5|5_4|5|5,
hit:4_conv:8,1,angry,I once lost my job and got mad.,4,I lost my job last year and got really angry.,3|5|5_5|5|5,
hit:4_conv:8,2,angry,I once lost my job and got mad.,8,I am sorry to hear that. Did it happen out of the blue?,3|5|5_5|5|5,
hit:4_conv:8,3,angry,I once lost my job and got mad.,4,Yes_comma_ it was a complete surprise.,3|5|5_5|5|5,
hit:4_conv:8,4,angry,I once lost my job and got mad.,8,I am sorry to hear that. I hope it turned out to be a blessing in decise.,3|5|5_5|5|5,
hit:5_conv:10,1,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,9,During christmas a few years ago_comma_ I did not get any presents.,5|1|5_5|5|5,
hit:5_conv:10,2,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,10,Wow_comma_ that must be terrible_comma_ I cannot imagine_comma_ I lvoe christmas,5|1|5_5|5|5,
hit:5_conv:10,3,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,9,Since that day christmas has not been a good time for me. As I have no family_comma_ christmas is always the worst.,5|1|5_5|5|5,
hit:5_conv:10,4,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,10,Wow_comma_ I am sorry to hear that_comma_ I wish I could make it a better holiday for you!,5|1|5_5|5|5,
hit:5_conv:10,5,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,9,Some days are just days that you never forget. I wish you could as well.,5|1|5_5|5|5,
hit:5_conv:11,1,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,10,My coworker is allowed to work remotely_comma_ but I am not...,5|5|5_5|1|5,
hit:5_conv:11,2,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,9,I work remotely_comma_ I wish that you could do something like that as well.,5|5|5_5|1|5,
hit:5_conv:11,3,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,10,I do too_comma_ it is unfortnuate because_comma_ unbiased_comma_ I am our best performer_comma_ so it is curious,5|5|5_5|1|5,
hit:5_conv:11,4,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,9,Sometimes in life_comma_ it is not about performance. Some people just get a shiner spoon.,5|5|5_5|1|5,
hit:6_conv:13,1,terrified,I was home alone. I heard a loud noise come from the kitchen. ,11,The other night I was alone and heard a nose coming from the kitchen... it was creepy. ,1|5|5_I have clicked the 'End Chat' button thank you!|4|5,
hit:7_conv:14,1,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,7,Hi_comma_ I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,5|5|5_5|4|5,<HI>
hit:7_conv:14,2,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,5,Thats a sweet man_comma_ I hope you acknowledged his kind gesture. ,5|5|5_5|4|5,
hit:7_conv:14,3,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,7,Yes_comma_ I did. I was so grateful because I have a lot of money in my wallet.,5|5|5_5|4|5,
hit:7_conv:14,4,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,5,Their aren't that many well rounded people in the world these days so when you see one you should always show appreciation! ,5|5|5_5|4|5,
hit:7_conv:15,1,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,5,People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.,5|4|5_5|5|5,
hit:7_conv:15,2,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,7,What happened?,5|4|5_5|5|5,
hit:7_conv:15,3,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,5,Got rejected from a place I wanted to work_comma_ not once but three times ,5|4|5_5|5|5,
hit:7_conv:15,4,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,7,I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?,5|4|5_5|5|5,
hit:7_conv:15,5,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,5,Thanks_comma_ they gave me the same generic lines you always hear. ,5|4|5_5|5|5,
hit:8_conv:16,1,prepared,I had my entire house boarded up when the hurricane came.,4,I had to board my entire house when the hurricane was coming.,3|4|5_5|5|5,
hit:8_conv:16,2,prepared,I had my entire house boarded up when the hurricane came.,8,WOW! Did it do any damage?,3|4|5_5|5|5,
